Title,Url,Sdk,discount,unavailable
"Smart TV LED 75"" UHD 4K LG 75UN8000PSB Wi-Fi, Bluetooth, HDR, Inteligência Artificial ThinQ AI, Google Assistente, Alexa, Controle Smart Magic - 2020",https://www.extra.com.br/smart-tv-led-75-uhd-4k-lg-75un8000psb-wi-fi-bluetooth-hdr-inteligencia-artificial-thinq-ai-google-assistente-alexa-controle-smart-magic-2020/p/55007677,55007677,5%,False
"Smart TV LED 55"" UHD 4K LG 55NANO81 NanoCell, IPS, Bluetooth, HDR, Inteligência Artificial ThinQ AI, Google Assistente, Alexa IOT, Smart Magic - 2020",https://www.extra.com.br/smart-tv-led-55-uhd-4k-lg-55nano81-nanocell-ips-bluetooth-hdr-inteligencia-artificial-thinq-ai-google-assistente-alexa-iot-smart-magic-2020/p/55007673,55007673,23%,False
"Smart TV LED 65"" UHD 4K LG 65NANO86 NanoCell, IPS, Bluetooth, HDR, Inteligência Artificial ThinQ AI, Google Assistente, Alexa IOT, Smart Magic - 2020",https://www.extra.com.br/smart-tv-led-65-uhd-4k-lg-65nano86-nanocell-ips-bluetooth-hdr-inteligencia-artificial-thinq-ai-google-assistente-alexa-iot-smart-magic-2020/p/55007670,55007670,5%,False
"Smart TV LED 70"" UHD 4K LG 70UN7310PSC Wi-Fi, Bluetooth, HDR, Inteligência Artificial ThinQ AI, Google Assistente, Alexa, Controle Smart Magic - 2020",https://www.extra.com.br/smart-tv-led-70-uhd-4k-lg-70un7310psc-wi-fi-bluetooth-hdr-inteligencia-artificial-thinq-ai-google-assistente-alexa-controle-smart-magic-2020/p/55007679,55007679,9%,False
"Smart TV LED 65"" 4K TCL 65P8M com Android TV, Controle Remoto Comando de Voz, HDR, Micro Dimming, Google Assistant, Bluetooth, HDMI e USB",https://www.extra.com.br/smart-tv-led-65-4k-tcl-65p8m-com-android-tv-controle-remoto-comando-de-voz-hdr-micro-dimming-google-assistant-bluetooth-hdmi-e-usb/p/55000479,55000479,3%,False
"Smart TV QLED 75"" UHD 8K Samsung 75Q800T Processador com IA, Borda Infinita, Alexa Built in, Som em Movimento, Modo Ambiente 3.0",https://www.extra.com.br/smart-tv-qled-75-uhd-8k-samsung-75q800t-processador-com-ia-borda-infinita-alexa-built-in-som-em-movimento-modo-ambiente-3-0/p/55006512,55006512,15%,False
"Smart TV LED 65"" UHD 4K LG 65NANO81 NanoCell, IPS, Bluetooth, HDR, Inteligência Artificial ThinQ AI, Google Assistente, Alexa IOT, Smart Magic - 2020",https://www.extra.com.br/smart-tv-led-65-uhd-4k-lg-65nano81-nanocell-ips-bluetooth-hdr-inteligencia-artificial-thinq-ai-google-assistente-alexa-iot-smart-magic-2020/p/55007672,55007672,8%,False
"Smart TV LED 82"" UHD 4K LG 82UN8000PSB Wi-Fi, Bluetooth, HDR, Inteligência Artificial ThinQ AI, Google Assistente, Alexa, Controle Smart Magic - 2020",https://www.extra.com.br/smart-tv-led-82-uhd-4k-lg-82un8000psb-wi-fi-bluetooth-hdr-inteligencia-artificial-thinq-ai-google-assistente-alexa-controle-smart-magic-2020/p/55007676,55007676,21%,False
"Smart TV QLED 65"" UHD 8K Samsung 65Q800T Processador com IA, Borda Infinita, Alexa Built in, Som em Movimento, Modo Ambiente 3.0",https://www.extra.com.br/smart-tv-qled-65-uhd-8k-samsung-65q800t-processador-com-ia-borda-infinita-alexa-built-in-som-em-movimento-modo-ambiente-3-0/p/55006511,55006511,33%,False
"Smart TV LED 65"" UHD 4K LG 65UN7100PSA Wi-Fi, Bluetooth, HDR, Inteligência Artificial ThinQ AI, Google Assistente, Alexa - 2020",https://www.extra.com.br/smart-tv-led-65-uhd-4k-lg-65un7100psa-wi-fi-bluetooth-hdr-inteligencia-artificial-thinq-ai-google-assistente-alexa-2020/p/55014287,55014287,9%,False
"Smart TV QLED 55"" UHD 4K Samsung The Frame QN55LS03T Modo Arte, Modo Ambiente 3.0, Molduras Customizáveis, Única Conexão e Suporte No-Gap - 2020",https://www.extra.com.br/smart-tv-qled-55-uhd-4k-samsung-the-frame-qn55ls03t-modo-arte-modo-ambiente-3-0-molduras-customizaveis-unica-conexao-e-suporte-no-gap-2020/p/55008731,55008731,10%,False
